Day,Publisher ID,Site ID,Section ID,Ads Requested,Ads Returned,CTR,Clicks,Conversions,Fill Rate,Impressions,Publisher Page Views,Publisher Revenue,Publisher Revenue USD,Publisher eCPM,Revenue,Revenue USD,Section Page Views,Video 100% Complete,Video 100% Rate,Video 25% Complete,Video 25% Rate,Video 50% Complete,Video 50% Rate,Video 75% Complete,Video 75% Rate,Video Start Rate,Video Starts,Video View Rate,Video Views,eCPM
2018-05-01,959242,11790,5533663,8880629450,467401550,0.0005028074,5049,0,0.0526315789,10041619,0,0.905064,0.905064,9.01313e-05,9526.986485,9526.986485,467401550,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9487500457
2018-04-30,959242,11790,5533663,8852479848,465919992,0.000533768,4845,0,0.0526315789,9076978,0,0.82206,0.82206,9.05654e-05,8653.258021,8653.258021,465919992,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9533192678
2018-05-02,959242,11790,5533663,8693395964,457547156,0.0004997999,5043,0,0.0526315789,10090038,0,0.867389,0.867389,8.59649e-05,9130.414777,9130.414777,457547156,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9048939932
2018-05-03,959242,11790,5533663,8522951790,448576410,0.0004940564,4693,0,0.0526315789,9498915,0,0.793993,0.793993,8.35878e-05,8357.822376,8357.822376,448576410,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.879871267
2018-04-27,959242,11790,5533663,7681833019,404307001,0.0005163076,3248,0,0.0526315789,6290824,0,0.619823,0.619823,9.85281e-05,6524.449119,6524.449119,404307001,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.0371374432
2018-04-29,959242,11790,5533663,4249856787,223676673,0.0006357572,1850,0,0.0526315789,2909916,0,0.386375,0.386375,0.0001327787,4067.109279,4067.109279,223676673,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.3976723998
2018-04-28,959242,11790,5533663,4134660053,217613687,0.0006334043,1795,0,0.0526315789,2833893,0,0.393992,0.393992,0.0001390285,4147.283348,4147.283348,217613687,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,1.463457988
2018-05-04,959242,11790,5533663,3226934882,169838678,0.0004919617,1160,0,0.0526315789,2357907,0,0.218938,0.218938,9.28527e-05,2304.625285,2304.625285,169838678,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.9774029616
2018-04-28,1511210,85804,5529841,402016970,1085984,0.0045697008,2660,0,0.0027013387,582095,0,0.0,0.0,0.0,440.30438,426.060581,40201697,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7564132659
2018-04-29,1030048,33056,5465001,397948045,3007988,0.0076881027,6357,0,0.0075587455,826862,0,172.561179,172.561179,0.2086940493,318.270752,318.270752,79589609,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.3849139905
2018-04-29,1511210,85804,5529841,393444880,797137,0.0051368217,2244,0,0.0020260449,436846,0,0.0,0.0,0.0,325.62768,367.05759,39344488,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7454061157
2018-05-01,1511210,85804,5529841,386185700,504548,0.005015753,796,0,0.0013064906,158700,0,0.0,0.0,0.0,123.49709,160.007627,38618570,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7781795211
2018-04-27,1511210,85804,5529841,385726300,1006177,0.005001547,3023,0,0.0026085258,604413,0,0.0,0.0,0.0,454.04962,577.770702,38572630,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.7512241133
2018-04-30,1511210,85804,5529841,372854830,862441,0.0053391701,1749,0,0.0023130745,327579,0,0.0,0.0,0.0,215.7459,338.617094,37285483,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.6586072367
2018-04-28,1030048,33056,5465001,358350890,3610328,0.0077530073,7925,0,0.0100748403,1022184,0,224.786173,224.786173,0.2199077397,413.586571,413.586571,71670178,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.4046106875
2018-05-01,959242,11790,5552963,349816528,4512085,0.0002397723,940,0,0.0128984329,3920386,0,0.029644,0.029644,7.5615e-06,312.029511,312.029511,21863533,0,0.0,2,66.6666666667,1,33.3333333333,0,0.0,7.65231e-05,3,100.0,3,0.0795915277
2018-05-03,1511210,85804,5529841,349191070,442048,0.0043187661,84,0,0.0012659201,19450,0,0.0,0.0,0.0,4.06712,4.505266,34919107,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.2091064267
2018-05-02,959242,11790,5552963,348613552,5004340,0.0001995369,861,0,0.0143549784,4314992,0,0.034264,0.034264,7.9407e-06,360.672597,360.672597,21788347,0,0.0,1,100.0,1,100.0,0,0.0,2.3175e-05,1,100.0,1,0.0835859248
2018-05-03,959242,11790,5552963,343502256,5250676,0.0001992493,904,0,0.0152857104,4537029,0,0.037302,0.037302,8.2217e-06,392.619637,392.619637,21468891,0,0.0,1,50.0,1,50.0,1,50.0,4.40817e-05,2,100.0,2,0.0865367263
2018-04-30,959242,11790,5552963,342703376,4543354,0.0002179367,849,0,0.0132573949,3895626,0,0.030088,0.030088,7.7235e-06,316.713325,316.713325,21418961,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0812997256
2018-05-02,1511210,85804,5529841,328993580,427570,0.0049976887,746,0,0.0012996302,149269,0,0.0,0.0,0.0,133.33959,138.009671,32899358,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.8932838701
2018-04-27,959242,11790,5552963,326346320,4619746,0.0001830525,728,0,0.0141559617,3977002,0,0.031772,0.031772,7.9889e-06,334.428191,334.428191,20396645,0,0.0,1,100.0,0,0.0,0,0.0,2.51446e-05,1,100.0,1,0.0840905262
2018-04-29,959242,11790,5552963,314691168,4222652,0.0001778207,653,0,0.0134184001,3672239,0,0.029507,0.029507,8.0352e-06,310.552182,310.552182,19668198,0,0.0,1,100.0,1,100.0,0,0.0,2.72313e-05,1,100.0,1,0.0845675301
2018-04-28,959242,11790,5552963,312791872,4045886,0.0001694317,594,0,0.0129347543,3505837,0,0.022015,0.022015,6.2795e-06,231.71052,231.71052,19549492,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0660927818
